City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,sake,-1.5736,29.045,293.31,57,98,0.2,CD,1691611520
146,quellon,-43.1167,-73.6167,284.29,93,75,9.77,CL,1691611521
147,chibuto,-24.6867,33.5306,288.34,85,0,2.29,MZ,1691611521
148,hamilton,39.1834,-84.5333,301.45,76,75,4.63,US,1691611481
149,windsor,42.3001,-83.0165,303.65,58,40,6.17,CA,1691611285
150,enewetak,11.3474,162.3373,301.55,77,82,6.53,MH,1691611447
151,namibe,-15.1961,12.1522,291.1,88,60,3.06,AO,1691611522
152,mount gambier,-37.8333,140.7667,283.3,76,99,4.97,AU,1691611523
153,hithadhoo,-0.6,73.0833,300.25,76,46,1.95,MV,1691611523
154,howell,42.6073,-83.9294,302.03,54,40,4.12,US,1691611325
155,lebu,-37.6167,-73.65,285.39,92,100,10.07,CL,1691611304
156,natchez,31.5604,-91.4032,309.96,46,20,4.12,US,1691611524
157,vernon,50.2581,-119.2691,297.93,49,100,1.03,CA,1691611279
158,kangiwa,12.5521,3.8187,300.87,70,58,3.21,NG,1691611525
159,aykhal,66.0,111.5,287.33,59,85,2.76,RU,1691611525
160,kamennomostskiy,44.2983,40.1856,296.01,89,78,1.85,RU,1691611526
161,udachny,66.4167,112.4,288.4,50,97,3.16,RU,1691611476
162,port mathurin,-19.6833,63.4167,296.13,62,0,8.36,MU,1691611526
163,puerto berrio,6.4916,-74.4033,309.63,34,3,0.95,CO,1691611527
164,nenjiang,49.1833,125.2167,290.06,98,100,2.56,CN,1691611529
165,hasaki,35.7333,140.8333,299.43,85,32,4.5,JP,1691611530
166,pitimbu,-7.4706,-34.8086,299.48,75,55,6.64,BR,1691611533
167,olonkinbyen,70.9221,-8.7187,279.09,99,100,3.92,SJ,1691611318
168,richmond,37.5538,-77.4603,305.93,46,40,4.12,US,1691611046
169,abu tij,27.0441,31.319,305.23,24,0,3.48,EG,1691611536
170,griffith,41.5284,-87.4237,299.76,67,0,2.57,US,1691611538
171,viedma,-40.8135,-62.9967,291.21,29,94,8.11,AR,1691611493
172,ulladulla,-35.35,150.4667,286.72,51,100,3.11,AU,1691611540
173,sibut,5.718,19.0739,294.96,97,74,1.72,CF,1691611541
174,tadine,-21.55,167.8833,291.23,61,0,6.41,NC,1691611541
175,koulikoro,14.0,-7.75,303.17,45,100,4.15,ML,1691611541
176,port blair,11.6667,92.75,301.17,83,75,2.57,IN,1691611529
177,el-tor,28.2364,33.6254,302.23,74,0,9.26,EG,1691611542
178,zhanaozen,43.3,52.8,304.36,31,0,4.42,KZ,1691611542
179,pemba,-12.974,40.5178,297.54,88,20,7.6,MZ,1691611543
180,mumbwa,-14.9783,27.0619,290.26,34,0,3.33,ZM,1691611543
181,sao vicente,-23.9631,-46.3919,296.13,51,100,2.57,BR,1691611544
182,kudahuvadhoo,2.6708,72.8944,300.71,78,85,5.38,MV,1691611544
183,singrauli,24.1997,82.6753,298.04,78,100,2.7,IN,1691611544
184,arraial do cabo,-22.9661,-42.0278,295.13,78,75,7.72,BR,1691611388
185,punta del este,-34.9667,-54.95,291.46,86,75,4.63,UY,1691611338
186,kristiansund,63.1115,7.732,284.51,87,75,0.0,NO,1691611545
187,mityana,0.4175,32.0228,290.69,88,2,0.52,UG,1691611546
188,cabedelo,-6.9811,-34.8339,299.52,78,47,7.85,BR,1691611546
189,salemi,37.8231,12.8056,296.03,74,77,2.7,IT,1691611547
190,lucenec,48.3325,19.6671,287.71,92,98,1.15,SK,1691611547
191,tafresh,34.692,50.013,297.24,28,0,2.52,IR,1691611547
192,la foa,-21.7108,165.8276,289.37,77,11,3.73,NC,1691611548
193,tyukhtet,56.5389,89.3011,285.11,90,69,2.11,RU,1691611548
194,porto novo,6.4965,2.6036,299.05,87,100,4.19,BJ,1691611328
195,gamay,12.3854,125.2979,300.18,83,100,3.98,PH,1691611549
196,brokopondo,4.75,-55.1667,304.79,58,71,1.21,SR,1691611549
197,kayangel,8.0823,134.7173,300.92,77,32,7.93,PW,1691611550
198,kavaratti,10.5669,72.642,301.4,76,100,6.97,IN,1691611550
199,opuwo,-18.0607,13.84,291.92,35,22,3.03,NA,1691611550
200,vorkuta,67.5,64.0,281.67,82,49,2.97,RU,1691611551
201,rongelap,11.1635,166.8941,301.02,76,42,2.61,MH,1691611551
202,sona,45.4388,10.8255,295.9,68,0,2.57,IT,1691611552
